Date	Q1 Answer	
2021-03-13 22:42:44 Etc/GMT	Ryan Vansickle	
2021-03-13 22:42:47 Etc/GMT	Ryan Vansickle	
2021-03-13 22:42:49 Etc/GMT	Ryan Vansickle	
2021-03-13 22:43:32 Etc/GMT	Ryan Vansickle	
2021-03-13 22:43:48 Etc/GMT	Ryan Vansickle	
2021-03-13 22:44:06 Etc/GMT	Ryan Vansickle	
2021-03-13 22:44:44 Etc/GMT	Ryan Vansickle	
2021-03-13 22:45:22 Etc/GMT	Ryan Vansickle	
2021-03-13 22:45:30 Etc/GMT	Ryan Vansickle	
2021-03-13 22:45:32 Etc/GMT	Ryan Vansickle	
2021-03-13 22:46:19 Etc/GMT	Ryan Vansickle	
2021-03-13 22:47:52 Etc/GMT	Ryan Vansickle	
2021-03-13 22:49:20 Etc/GMT	Vote of No Confidence	
2021-03-13 22:50:30 Etc/GMT	Vote of No Confidence	
2021-03-13 22:53:44 Etc/GMT	Ryan Vansickle	
2021-03-13 22:54:24 Etc/GMT	Ryan Vansickle	
2021-03-13 22:57:39 Etc/GMT	Ryan Vansickle	
2021-03-13 23:08:23 Etc/GMT	Vote of No Confidence	
2021-03-13 23:08:34 Etc/GMT	Ryan Vansickle	
2021-03-13 23:22:32 Etc/GMT	Ryan Vansickle	
2021-03-13 23:43:11 Etc/GMT	Vote of No Confidence	
2021-03-13 23:57:26 Etc/GMT	Vote of No Confidence	
2021-03-14 00:03:39 Etc/GMT	Vote of No Confidence	
2021-03-14 00:55:06 Etc/GMT	Ryan Vansickle	
2021-03-14 01:19:58 Etc/GMT	Ryan Vansickle	
2021-03-14 01:26:30 Etc/GMT	Vote of No Confidence	
2021-03-14 01:32:12 Etc/GMT	Ryan Vansickle	
2021-03-14 01:44:46 Etc/GMT	Ryan Vansickle	
2021-03-14 01:57:50 Etc/GMT	Ryan Vansickle	
2021-03-14 02:00:20 Etc/GMT	Ryan Vansickle	
2021-03-14 02:03:39 Etc/GMT	Vote of No Confidence	
2021-03-14 02:42:45 Etc/GMT	Vote of No Confidence	
2021-03-14 02:58:24 Etc/GMT	Ryan Vansickle	
2021-03-14 03:52:26 Etc/GMT	Ryan Vansickle	
2021-03-14 04:38:26 Etc/GMT	Vote of No Confidence	
2021-03-14 05:02:26 Etc/GMT	Ryan Vansickle	
2021-03-14 05:38:08 Etc/GMT	Ryan Vansickle	
2021-03-14 05:43:10 Etc/GMT	Ryan Vansickle	
2021-03-14 11:00:51 Etc/GMT	Ryan Vansickle	
2021-03-14 19:14:28 Etc/GMT	Vote of No Confidence	
2021-03-14 19:30:39 Etc/GMT	Ryan Vansickle	
2021-03-14 21:17:21 Etc/GMT	Ryan Vansickle	
2021-03-14 22:26:34 Etc/GMT	Vote of No Confidence	
2021-03-14 23:14:40 Etc/GMT	Ryan Vansickle	
2021-03-15 00:47:02 Etc/GMT	Ryan Vansickle	
2021-03-15 04:31:20 Etc/GMT	Ryan Vansickle	
2021-03-15 04:32:08 Etc/GMT	Ryan Vansickle	
2021-03-15 04:48:52 Etc/GMT	Ryan Vansickle	
2021-03-15 07:44:31 Etc/GMT	Ryan Vansickle	
2021-03-15 07:57:41 Etc/GMT	Ryan Vansickle	
2021-03-15 15:02:49 Etc/GMT	Ryan Vansickle	
2021-03-15 17:07:22 Etc/GMT	Ryan Vansickle	
2021-03-15 19:30:23 Etc/GMT	Vote of No Confidence	
2021-03-15 21:12:41 Etc/GMT	Vote of No Confidence	
2021-03-17 02:13:36 Etc/GMT	Ryan Vansickle	
2021-03-29 08:43:05 Etc/GMT	Ryan Vansickle	
