Date	Q1 Answer	
2023-03-10 08:01:14 Etc/GMT	Mabel Ling	
2023-03-10 08:13:28 Etc/GMT		
2023-03-10 08:14:01 Etc/GMT	Chitransh Motwani	
2023-03-10 08:15:27 Etc/GMT	No Confidence	
2023-03-10 08:15:40 Etc/GMT	Mabel Ling	
2023-03-10 08:16:58 Etc/GMT	Chitransh Motwani	
2023-03-10 08:17:15 Etc/GMT	Mabel Ling	
2023-03-10 08:17:31 Etc/GMT		
2023-03-10 08:18:52 Etc/GMT	Chitransh Motwani	
2023-03-10 08:19:22 Etc/GMT	Mabel Ling	
2023-03-10 08:20:47 Etc/GMT	Chitransh Motwani	
2023-03-10 08:27:51 Etc/GMT	Mabel Ling	
2023-03-10 08:28:06 Etc/GMT	Mabel Ling	
2023-03-10 08:29:13 Etc/GMT	Mabel Ling	
2023-03-10 08:31:45 Etc/GMT	Mabel Ling	
2023-03-10 08:33:06 Etc/GMT	Chitransh Motwani	
2023-03-10 08:39:54 Etc/GMT	Chitransh Motwani	
2023-03-10 08:41:17 Etc/GMT	Mabel Ling	
2023-03-10 08:46:42 Etc/GMT	Mabel Ling	
2023-03-10 09:09:03 Etc/GMT	Chitransh Motwani	
2023-03-10 09:17:47 Etc/GMT	No Confidence	
2023-03-10 10:32:26 Etc/GMT	Mabel Ling	
2023-03-10 14:33:27 Etc/GMT	Mabel Ling	
2023-03-10 14:41:29 Etc/GMT	No Confidence	
2023-03-10 15:09:14 Etc/GMT	Mabel Ling	
2023-03-10 15:39:48 Etc/GMT	Mabel Ling	
2023-03-10 16:15:42 Etc/GMT	Mabel Ling	
2023-03-10 16:16:37 Etc/GMT	Mabel Ling	
2023-03-10 16:21:24 Etc/GMT	Mabel Ling	
2023-03-10 16:37:34 Etc/GMT	Mabel Ling	
2023-03-10 17:01:26 Etc/GMT	Chitransh Motwani	
2023-03-10 17:38:21 Etc/GMT	Mabel Ling	
2023-03-10 17:48:18 Etc/GMT	Mabel Ling	
2023-03-10 18:24:23 Etc/GMT	Chitransh Motwani	
2023-03-10 18:27:30 Etc/GMT	Mabel Ling	
2023-03-10 18:40:18 Etc/GMT	Mabel Ling	
2023-03-10 19:50:09 Etc/GMT	Mabel Ling	
2023-03-10 19:53:49 Etc/GMT	No Confidence	
2023-03-10 20:31:25 Etc/GMT	Mabel Ling	
2023-03-10 20:50:51 Etc/GMT	Mabel Ling	
2023-03-10 20:58:24 Etc/GMT	Mabel Ling	
2023-03-10 21:25:46 Etc/GMT	Chitransh Motwani	
2023-03-10 21:29:46 Etc/GMT	Mabel Ling	
2023-03-10 23:19:08 Etc/GMT	Mabel Ling	
2023-03-10 23:52:08 Etc/GMT	Mabel Ling	
2023-03-11 01:31:16 Etc/GMT	Mabel Ling	
2023-03-11 03:21:55 Etc/GMT	Chitransh Motwani	
2023-03-11 04:11:42 Etc/GMT	Mabel Ling	
2023-03-11 05:59:04 Etc/GMT	Mabel Ling	
2023-03-11 07:11:06 Etc/GMT	Mabel Ling	
2023-03-11 18:11:31 Etc/GMT	No Confidence	
2023-03-11 19:07:26 Etc/GMT	Mabel Ling	
2023-03-13 05:30:27 Etc/GMT	Chitransh Motwani	
2023-03-13 05:34:34 Etc/GMT	Mabel Ling	
2023-03-13 05:37:37 Etc/GMT	Mabel Ling	
2023-03-13 05:38:20 Etc/GMT	Mabel Ling	
2023-03-13 05:39:38 Etc/GMT	Mabel Ling	
2023-03-13 05:41:39 Etc/GMT	Mabel Ling	
2023-03-13 05:45:36 Etc/GMT	Mabel Ling	
2023-03-13 05:47:18 Etc/GMT	No Confidence	
2023-03-13 05:47:52 Etc/GMT	Mabel Ling	
2023-03-13 05:48:32 Etc/GMT	Mabel Ling	
2023-03-13 05:53:54 Etc/GMT	Mabel Ling	
2023-03-13 05:57:17 Etc/GMT	Mabel Ling	
2023-03-13 05:59:41 Etc/GMT	Mabel Ling	
2023-03-13 06:11:30 Etc/GMT	Mabel Ling	
2023-03-13 06:29:00 Etc/GMT	No Confidence	
2023-03-13 06:30:53 Etc/GMT	Mabel Ling	
2023-03-13 06:54:14 Etc/GMT	Chitransh Motwani	
2023-03-13 07:12:01 Etc/GMT	Mabel Ling	
2023-03-13 08:03:32 Etc/GMT	Mabel Ling	
2023-03-13 16:08:26 Etc/GMT	Mabel Ling	
2023-03-13 16:09:48 Etc/GMT	Mabel Ling	
2023-03-13 16:17:00 Etc/GMT	No Confidence	
2023-03-13 16:22:48 Etc/GMT	Mabel Ling	
2023-03-13 16:37:11 Etc/GMT	Mabel Ling	
2023-03-13 16:57:51 Etc/GMT	Mabel Ling	
2023-03-13 17:01:53 Etc/GMT	No Confidence	
2023-03-13 17:14:24 Etc/GMT	Mabel Ling	
2023-03-13 18:55:34 Etc/GMT	Mabel Ling	
2023-03-13 19:21:11 Etc/GMT	No Confidence	
2023-03-13 22:13:19 Etc/GMT	Mabel Ling	
2023-03-13 22:49:43 Etc/GMT	Chitransh Motwani	
2023-03-14 01:09:04 Etc/GMT	Mabel Ling	
2023-03-14 05:24:02 Etc/GMT	Mabel Ling	
